net,length_um
net1088,452.22µm
_23863_,451.83µm
net1053,451.76µm
net1028,451.36µm
net1149,451.05µm
_08694_,450.97µm
net932,450.44µm
net931,449.78µm
net460,449.76µm
_17973_,449.47µm
_26271_,448.8µm
net1230,447.83µm
net420,447.33µm
net1134,447.17µm
net1055,447.13µm
net7,446.98µm
net838,446.75µm
net502,446.67µm
net935,446.62µm
net456,446.57µm
net1131,446.57µm
_18779_,446.52µm
_23883_,446.36µm
_06736_,446.1µm
net438,446.08µm
net878,446.01µm
net901,445.99µm
net1186,445.96µm
_04635_,445.65µm
_25436_,445.6µm
net1197,444.79µm
net1202,444.74µm
net2083,444.65µm
_12350_,444.48µm
net826,444.18µm
_18832_,444.07µm
net2159,443.62µm
net1218,443.06µm
net820,442.7µm
net2162,442.68µm
_18904_,442.29µm
net1058,442.14µm
_12437_,442.04µm
net692,441.67µm
_17240_,441.63µm
net841,441.53µm
clknet_2_3_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,441.53µm
_09208_,441.17µm
net1036,441.03µm
net399,440.54µm
net1098,440.2µm
_18914_,439.64µm
_14383_,439.55µm
net1234,439.31µm
net59,439.29µm
_10762_,439.17µm
net863,439.15µm
net364,439.08µm
net1219,438.85µm
net573,438.82µm
_25634_,438.63µm
net669,438.63µm
clknet_4_4_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,438.42µm
clknet_4_4__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,438.32µm
net1042,438.05µm
clknet_4_13__leaf_clk_i_regs,437.86µm
_17988_,437.66µm
net1533,437.61µm
net666,437.46µm
net1173,437.31µm
net1104,437.14µm
_05932_,436.74µm
_12470_,436.54µm
net1256,436.13µm
net1091,435.9µm
net846,435.88µm
_25538_,435.73µm
net427,435.42µm
net94,435.32µm
net2129,435.19µm
net369,434.96µm
net1268,434.86µm
_05698_,434.71µm
_10384_,434.71µm
net1024,434.7µm
net898,434.45µm
_06773_,434.3µm
clknet_2_2_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,434.25µm
clknet_2_1_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,434.1µm
_25401_,433.99µm
net1047,433.54µm
net1040,433.5µm
net60,433.19µm
net987,432.93µm
_18120_,432.82µm
net946,432.6µm
net687,432.57µm
net964,432.57µm
net140,432.11µm
net2085,432.02µm
_18569_,432.01µm
net1235,432.01µm
net919,431.91µm
net2127,431.91µm
_10799_,431.71µm
net74,431.7µm
net1254,431.65µm
net489,431.45µm
net917,431.4µm
net911,431.35µm
net937,431.35µm
net1995,431.3µm
_06918_,431.19µm
net1108,430.89µm
net2090,430.84µm
net1082,430.82µm
net745,430.7µm
net1158,430.56µm
net866,430.17µm
_10565_,429.87µm
net2075,429.67µm
net432,429.38µm
_17922_,428.65µm
net953,428.14µm
net622,428.04µm
net442,428.01µm
net1107,428.01µm
net245,427.99µm
net366,427.12µm
net892,426.61µm
net972,426.57µm
net2201,426.41µm
net1093,426.21µm
_18516_,426.2µm
clknet_4_8__leaf_clk_i_regs,426.05µm
net1103,425.98µm
_06099_,425.93µm
_12261_,425.9µm
_10511_,425.85µm
_26109_,425.77µm
_10758_,425.75µm
net72,425.75µm
net361,425.39µm
_22904_,425.37µm
_10696_,425.29µm
net504,425.29µm
net936,425.29µm
_18985_,425.1µm
_18530_,424.88µm
_19866_,424.53µm
_10576_,424.27µm
net1045,424.27µm
net854,424.26µm
net506,424.17µm
_20201_,424.11µm
net1141,424.1µm
_12241_,423.72µm
_06373_,423.2µm
net867,423.05µm
net980,423.05µm
net77,422.95µm
net532,422.9µm
net27,422.24µm
net896,422.08µm
net2072,421.68µm
_20219_,421.57µm
net437,421.57µm
net1064,421.42µm
net801,421.11µm
net625,420.76µm
net889,420.41µm
net1153,420.25µm
net850,419.84µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.power_manager_i.peripheral_subsystem_rst_n,419.54µm
net970,419.52µm
clknet_2_0_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,418.98µm
_12411_,418.88µm
_09202_,418.87µm
net1061,418.74µm
_07019_,418.66µm
net2097,418.54µm
net864,418.52µm
net885,418.11µm
net887,417.75µm
net392,417.54µm
net86,417.45µm
net1150,417.18µm
_18601_,416.89µm
clknet_0_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,416.74µm
net2084,416.65µm
_18549_,416.38µm
net1761,416.38µm
net52,416.18µm
net2071,416.13µm
_19079_,416.02µm
net983,415.87µm
net488,415.77µm
_20587_,415.72µm
clknet_4_1__leaf_clk_i_regs,415.31µm
net358,415.26µm
net2074,415.06µm
_10591_,413.82µm
net433,413.63µm
net501,413.58µm
net1114,413.02µm
i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.i_servile.arbiter.i_wb_cpu_ibus_adr\[0\],412.87µm
net496,412.86µm
net834,412.85µm
net832,412.61µm
_18589_,412.56µm
net661,412.31µm
net857,411.85µm
net949,411.75µm
_06774_,411.69µm
_10769_,411.36µm
net422,411.34µm
_17978_,411.29µm
net1532,410.83µm
_26146_,410.57µm
_18621_,410.52µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[9\],410.48µm
_05607_,410.37µm
net858,410.27µm
_14378_,410.17µm
net428,409.71µm
clknet_4_12_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,409.61µm
net79,409.56µm
net2007,408.16µm
net395,407.83µm
net978,407.32µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[6\],407.27µm
net396,406.96µm
_16163_,406.93µm
_23815_,406.66µm
net925,406.66µm
net453,406.35µm
net1066,406.31µm
net2121,406.25µm
net1054,406.2µm
net829,406.15µm
net1156,406.04µm
_18003_,405.59µm
_15363_,405.54µm
net526,405.54µm
net1593,405.48µm
_16234_,405.46µm
net234,404.67µm
_12413_,404.57µm
net554,404.21µm
_25406_,404.16µm
_14234_,404.01µm
_25919_,403.96µm
_25482_,403.95µm
net419,403.91µm
_12611_,403.45µm
net662,403.45µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[5\],403.4µm
net524,402.99µm
net1198,402.89µm
_18165_,402.64µm
net806,402.48µm
net402,402.38µm
_05703_,401.92µm
net1222,401.87µm
net2076,401.62µm
_10623_,401.6µm
net920,401.45µm
net629,401.36µm
net75,401.21µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[11\],401.11µm
net448,400.69µm
net101,400.24µm
net631,400.09µm
net1081,399.9µm
_15106_,399.73µm
i_core_v_mini_mcu.core_data_req\[94\],399.53µm
net509,399.53µm
net1818,399.53µm
net580,399.34µm
net1599,398.92µm
net461,398.82µm
net1210,398.56µm
net400,398.36µm
net97,398.31µm
_18363_,398.26µm
net1982,397.9µm
net799,397.81µm
net123,397.47µm
_05752_,397.2µm
net466,397.15µm
net2122,397.14µm
_25528_,397.08µm
_23804_,396.98µm
_10778_,396.85µm
net1263,396.68µm
_12232_,396.53µm
_20328_,396.52µm
net356,396.32µm
net668,396.12µm
net969,396.12µm
_20572_,396.07µm
_18173_,395.35µm
_18097_,395.3µm
net2033,395.1µm
_05689_,394.95µm
_10803_,394.59µm
net1595,394.44µm
_20167_,394.43µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[2\],394.05µm
net1038,393.98µm
net99,393.88µm
_12273_,393.47µm
