net,length_um
net435,465µm
net1316,464.66µm
net909,464.64µm
net840,464.13µm
net1650,462.56µm
_24419_,461.69µm
clknet_4_6_0_clk_i_regs,461.64µm
net1239,461.59µm
_12447_,461.44µm
_12719_,460.65µm
net1395,460.61µm
_12585_,460.57µm
_05823_,460.47µm
net1010,460.47µm
_12729_,460.22µm
net1430,459.87µm
_12605_,459.86µm
_17046_,459.5µm
_24395_,458.89µm
_10762_,458.52µm
_10601_,458.23µm
net1280,458.18µm
_05797_,457.69µm
_17651_,457.62µm
net1406,456.7µm
clknet_4_2_0_clk_i_regs,456.19µm
_10813_,455.58µm
net1388,455.26µm
net1011,455.02µm
net420,455µm
net1113,454.96µm
net1493,454.54µm
net936,454.41µm
net284,454.26µm
net285,454.2µm
_11344_,452.83µm
_12542_,452.81µm
net290,452.79µm
_11025_,452.69µm
net955,452.68µm
_12530_,452.37µm
net1315,452.3µm
net1126,451.05µm
net1523,451.05µm
_12564_,450.95µm
net1329,450.95µm
_12380_,450.87µm
_06026_,450.29µm
net971,449.37µm
_16930_,448.81µm
net969,448.15µm
net453,448.06µm
net798,447.59µm
net1278,447.18µm
_05792_,447.17µm
net967,446.98µm
net1282,446.81µm
_10611_,446.8µm
net1279,446.57µm
_26197_,446.16µm
_10633_,444.94µm
net279,444.89µm
_09584_,444.74µm
_17620_,444.63µm
net1053,444.28µm
_24650_,444.25µm
_26698_,444.18µm
net883,443.92µm
net1607,443.87µm
_12556_,443.86µm
net810,443.72µm
net1519,443.21µm
net780,443.16µm
_12773_,443.01µm
_11525_,442.04µm
net1230,441.81µm
net1110,441.63µm
net879,441.41µm
_14425_,441.07µm
_14402_,440.87µm
_16524_,440.87µm
net273,440.46µm
net1389,440.29µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.obi_spimemio_reg_top_i.reg2hw,440.26µm
net155,439.75µm
net1206,439.44µm
net1602,439.39µm
_11519_,439.29µm
_10545_,439.24µm
_11524_,439.24µm
