Metric,Value
timing__unannotated_net__count__corner:nom_tt_025C_5v00,630
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,630
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,630
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,4
design__max_cap_violation__count__corner:min_tt_025C_5v00,0
clock__skew__worst_hold__corner:min_tt_025C_5v00,1.7194199883892873
clock__skew__worst_setup__corner:min_tt_025C_5v00,2.21942004390044
timing__hold__ws__corner:min_tt_025C_5v00,0.2471805052824968
timing__setup__ws__corner:min_tt_025C_5v00,24.9456782291587
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.247181
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,44.614166
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,630
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,0
design__max_fanout_violation__count__corner:min_ss_125C_4v50,4
design__max_cap_violation__count__corner:min_ss_125C_4v50,0
clock__skew__worst_hold__corner:min_ss_125C_4v50,3.2377061947893013
clock__skew__worst_setup__corner:min_ss_125C_4v50,3.7377062503004543
timing__hold__ws__corner:min_ss_125C_4v50,0.716215551582684
timing__setup__ws__corner:min_ss_125C_4v50,21.11224677061093
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,0.716216
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,40.321602
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,630
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,4
design__max_cap_violation__count__corner:min_ff_n40C_5v50,0
clock__skew__worst_hold__corner:min_ff_n40C_5v50,1.0372061281204068
clock__skew__worst_setup__corner:min_ff_n40C_5v50,1.5372061836315596
timing__hold__ws__corner:min_ff_n40C_5v50,0.048227645464477914
timing__setup__ws__corner:min_ff_n40C_5v50,26.67440033244519
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.048228
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,46.526966
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,630
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,0
design__max_fanout_violation__count__corner:max_tt_025C_5v00,4
design__max_cap_violation__count__corner:max_tt_025C_5v00,0
clock__skew__worst_hold__corner:max_tt_025C_5v00,1.85546516736224
clock__skew__worst_setup__corner:max_tt_025C_5v00,2.3554652228733928
timing__hold__ws__corner:max_tt_025C_5v00,0.2426172664776253
timing__setup__ws__corner:max_tt_025C_5v00,24.675259867135168
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.242617
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,44.183475
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,630
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,630
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,4
design__max_cap_violation__count__corner:max_ff_n40C_5v50,0
clock__skew__worst_hold__corner:max_ff_n40C_5v50,1.1291728982561615
clock__skew__worst_setup__corner:max_ff_n40C_5v50,1.6291729537673143
timing__hold__ws__corner:max_ff_n40C_5v50,0.045227600722488756
timing__setup__ws__corner:max_ff_n40C_5v50,26.496558586082088
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.045228
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,46.249283
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,630
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,630
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:max_ss_125C_4v50,4.99992
design_powergrid__drop__average__net:VDD__corner:max_ss_125C_4v50,4.99998
design_powergrid__drop__worst__net:VDD__corner:max_ss_125C_4v50,0.0000842543
design_powergrid__voltage__worst__net:VSS__corner:max_ss_125C_4v50,0.000150518
design_powergrid__drop__average__net:VSS__corner:max_ss_125C_4v50,0.0000247689
design_powergrid__drop__worst__net:VSS__corner:max_ss_125C_4v50,0.000150518
design_powergrid__voltage__worst,0.000150518
design_powergrid__voltage__worst__net:VDD,4.99992
design_powergrid__drop__worst,0.000150518
design_powergrid__drop__worst__net:VDD,0.0000842543
design_powergrid__voltage__worst__net:VSS,0.000150518
design_powergrid__drop__worst__net:VSS,0.000150518
ir__voltage__worst,5
ir__drop__avg,0.00002349999999999999861894327268796445196130662225186824798583984375
ir__drop__worst,0.000084300000000000002643892049736251692593214102089405059814453125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
