Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_271_1696,VDD,Metal1,970.2000,1085.8400,4.999974
FILLER_271_1694,VDD,Metal1,969.3600,1085.8400,4.999974
FILLER_271_1690,VDD,Metal1,968.0600,1086.2725,4.999974
FILLER_271_1682,VDD,Metal1,964.8265,1086.4165,4.999974
FILLER_271_1662,VDD,Metal1,951.4400,1085.8400,4.999974
FILLER_271_1653,VDD,Metal1,947.3400,1086.2725,4.999976
FILLER_271_1612,VDD,Metal1,924.3800,1086.2725,4.999976
FILLER_271_1606,VDD,Metal1,921.0200,1086.2725,4.999974
FILLER_271_1592,VDD,Metal1,911.9600,1085.8400,4.999974
FILLER_271_1590,VDD,Metal1,911.1200,1085.8400,4.999974
FILLER_271_1586,VDD,Metal1,909.8200,1086.2725,4.999974
FILLER_271_1555,VDD,Metal1,891.5200,1085.8400,4.999974
FILLER_271_1539,VDD,Metal1,882.2800,1085.8400,4.999974
FILLER_271_1535,VDD,Metal1,881.2600,1086.2725,4.999974
FILLER_271_1476,VDD,Metal1,847.0000,1085.8400,4.999974
FILLER_271_1472,VDD,Metal1,845.9800,1086.2725,4.999974
FILLER_271_1469,VDD,Metal1,843.0800,1085.8400,4.999973
FILLER_271_1454,VDD,Metal1,834.9600,1085.8400,4.999973
FILLER_271_1450,VDD,Metal1,833.6600,1086.2725,4.999973
FILLER_271_1442,VDD,Metal1,830.4265,1086.4165,4.999973
FILLER_271_1411,VDD,Metal1,810.8800,1085.8400,4.999973
FILLER_271_1407,VDD,Metal1,809.5800,1086.2725,4.999973
FILLER_271_1398,VDD,Metal1,803.6000,1085.8400,4.999973
FILLER_271_1359,VDD,Metal1,781.7600,1085.8400,4.999973
FILLER_271_1355,VDD,Metal1,780.4600,1086.2725,4.999973
FILLER_271_1336,VDD,Metal1,768.6000,1085.8400,4.999973
FILLER_271_1332,VDD,Metal1,767.5800,1086.2725,4.999973
FILLER_271_1320,VDD,Metal1,759.9200,1085.8400,4.999973
FILLER_271_1250,VDD,Metal1,720.7200,1085.8400,4.999973
FILLER_271_1246,VDD,Metal1,719.4200,1086.2725,4.999973
FILLER_271_1238,VDD,Metal1,716.1865,1086.4165,4.999973
FILLER_271_1230,VDD,Metal1,710.4600,1086.2725,4.999973
FILLER_271_1192,VDD,Metal1,688.2400,1085.8400,4.999973
FILLER_271_1147,VDD,Metal1,663.0400,1085.8400,4.999973
FILLER_271_1143,VDD,Metal1,661.7400,1086.2725,4.999973
FILLER_271_1111,VDD,Metal1,642.6000,1085.8400,4.999975
FILLER_271_1107,VDD,Metal1,641.5800,1086.2725,4.999975
FILLER_271_1071,VDD,Metal1,620.4800,1085.8400,4.999975
FILLER_271_1063,VDD,Metal1,618.1865,1086.4165,4.999975
FILLER_271_1052,VDD,Metal1,609.5600,1085.8400,4.999974
FILLER_271_1040,VDD,Metal1,603.1200,1085.8400,4.999974
FILLER_271_1036,VDD,Metal1,601.8200,1086.2725,4.999974
FILLER_271_950,VDD,Metal1,552.4400,1085.8400,4.999975
FILLER_271_909,VDD,Metal1,529.4800,1085.8400,4.999974
FILLER_271_901,VDD,Metal1,525.2800,1085.8400,4.999974
FILLER_271_842,VDD,Metal1,491.9600,1085.8400,4.999975
FILLER_271_823,VDD,Metal1,481.3200,1085.8400,4.999974
FILLER_271_782,VDD,Metal1,458.3600,1085.8400,4.999972
FILLER_271_780,VDD,Metal1,457.5200,1085.8400,4.999972
FILLER_271_772,VDD,Metal1,455.2265,1086.4165,4.999972
FILLER_271_693,VDD,Metal1,408.8000,1085.8400,4.999972
FILLER_271_632,VDD,Metal1,374.3600,1085.8400,4.999969
FILLER_271_628,VDD,Metal1,372.4000,1085.8400,4.999969
FILLER_271_553,VDD,Metal1,330.4000,1085.8400,4.999968
FILLER_271_512,VDD,Metal1,307.1600,1085.8400,4.999968
FILLER_271_510,VDD,Metal1,306.3200,1085.8400,4.999968
FILLER_271_492,VDD,Metal1,296.2400,1085.8400,4.999968
FILLER_271_418,VDD,Metal1,254.8000,1085.8400,4.999968
FILLER_271_240,VDD,Metal1,154.8400,1085.8400,4.999971
FILLER_271_238,VDD,Metal1,154.0000,1085.8400,4.999971
FILLER_271_194,VDD,Metal1,129.0800,1085.8400,4.999971
FILLER_271_159,VDD,Metal1,109.4800,1085.8400,4.999972
FILLER_271_155,VDD,Metal1,108.4600,1086.2725,4.999972
FILLER_271_147,VDD,Metal1,105.2265,1086.4165,4.999972
FILLER_271_36,VDD,Metal1,40.6000,1085.8400,4.999972
FILLER_270_1920,VDD,Metal1,1095.6400,1085.8400,4.999976
FILLER_270_1872,VDD,Metal1,1068.7600,1085.8400,4.999975
FILLER_270_1853,VDD,Metal1,1058.4000,1085.8400,4.999974
FILLER_270_1829,VDD,Metal1,1049.4880,1085.1480,4.999974
FILLER_270_1794,VDD,Metal1,1025.0800,1085.8400,4.999972
FILLER_270_1792,VDD,Metal1,1024.2400,1085.8400,4.999973
FILLER_270_1774,VDD,Metal1,1014.1600,1085.8400,4.999975
FILLER_270_1722,VDD,Metal1,984.7600,1085.8400,4.999974
FILLER_270_1706,VDD,Metal1,975.8000,1085.8400,4.999974
FILLER_270_1704,VDD,Metal1,974.9600,1085.8400,4.999974
FILLER_270_1700,VDD,Metal1,973.6600,1085.4075,4.999974
FILLER_270_1614,VDD,Metal1,924.5600,1085.8400,4.999976
FILLER_270_1584,VDD,Metal1,907.4800,1085.8400,4.999973
FILLER_270_1582,VDD,Metal1,906.6400,1085.8400,4.999973
FILLER_270_1557,VDD,Metal1,892.6400,1085.8400,4.999974
FILLER_270_1503,VDD,Metal1,862.4000,1085.8400,4.999975
FILLER_270_1488,VDD,Metal1,854.0000,1085.8400,4.999975
FILLER_270_1484,VDD,Metal1,852.7000,1085.4075,4.999975
FILLER_270_1444,VDD,Metal1,829.0800,1085.8400,4.999973
FILLER_270_1442,VDD,Metal1,828.2400,1085.8400,4.999973
FILLER_270_1431,VDD,Metal1,823.0200,1085.4075,4.999973
FILLER_270_1421,VDD,Metal1,816.4800,1085.8400,4.999973
FILLER_270_1417,VDD,Metal1,815.1800,1085.4075,4.999973
FILLER_270_1382,VDD,Metal1,794.3600,1085.8400,4.999973
FILLER_270_1380,VDD,Metal1,793.5200,1085.8400,4.999973
FILLER_270_1363,VDD,Metal1,784.0000,1085.8400,4.999973
FILLER_270_1359,VDD,Metal1,782.7000,1085.4075,4.999973
FILLER_270_1316,VDD,Metal1,757.4000,1085.8400,4.999973
