net,length_um
_10760_,493.15µm
net616,493.05µm
clknet_1_1__leaf_clk_i,492.44µm
spi_flash_sd_io[3],492.35µm
net831,492.08µm
net641,491.99µm
_12771_,491.37µm
net464,490.4µm
_21271_,490.26µm
_21287_,490.2µm
_05848_,490.1µm
_05601_,489.7µm
net500,489.59µm
net575,489.43µm
net640,489.42µm
net944,489.4µm
net627,489.34µm
net690,489.33µm
net371,489.29µm
net631,489.28µm
net771,489.28µm
_26368_,489.18µm
net304,488.88µm
net645,488.62µm
_14431_,488.11µm
net685,487.85µm
_10519_,487.5µm
net478,487.41µm
net577,487.08µm
net804,486.94µm
_18549_,486.85µm
_11218_,486.53µm
net355,486.47µm
net622,486.23µm
_06880_,485.61µm
_12740_,485.33µm
_06162_,484.75µm
net353,484.73µm
net320,484.65µm
clknet_4_2__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,484.6µm
net358,484.24µm
net757,484.19µm
_05890_,483.99µm
net775,483.58µm
_24192_,483.37µm
net308,483.16µm
net605,482.82µm
_10630_,482.81µm
net748,481.85µm
net1139,481.85µm
net788,481.34µm
net454,481.2µm
_10841_,481.11µm
_10580_,481.03µm
net719,480.99µm
net582,480.84µm
_10544_,480.81µm
_06178_,480.68µm
net396,480.58µm
net743,480.47µm
net569,479.86µm
_24879_,479.71µm
_05626_,479.38µm
_05644_,479.3µm
net592,479µm
net752,478.89µm
net872,478.76µm
net716,478.74µm
_25452_,478.64µm
net679,478.41µm
net593,476.86µm
net479,476.76µm
net496,476.66µm
net492,476.1µm
net375,475.33µm
_19489_,474.89µm
_14420_,474.82µm
net848,474.55µm
net657,474.11µm
net705,474.01µm
_24127_,473.96µm
_24084_,472.53µm
_12496_,472.33µm
_07981_,472.3µm
_26401_,471.21µm
_10355_,471.16µm
_23121_,470.9µm
net36,470.6µm
net790,470.42µm
net347,470.09µm
net855,469.75µm
net747,469.64µm
_10727_,469.58µm
net303,469.53µm
_24136_,469.22µm
_25818_,469.17µm
_23156_,469.07µm
_24083_,468.97µm
net330,468.96µm
_11361_,468.51µm
net715,468.36µm
net352,468.31µm
net534,468.31µm
_07665_,467.54µm
_19351_,467.54µm
_24339_,467.39µm
_24639_,467.39µm
net591,467.29µm
_06061_,466.95µm
net875,466.73µm
net298,466.53µm
_10721_,466.17µm
_06781_,465.76µm
net439,465.71µm
net331,465.66µm
net696,465.09µm
_10920_,464.69µm
_10521_,464.34µm
_06934_,464.03µm
_14425_,464.03µm
net713,464.03µm
_18907_,463.42µm
net741,463.32µm
net763,463.25µm
net480,463.22µm
_10621_,462.86µm
net564,462.76µm
_20826_,462.5µm
net312,462.26µm
_05987_,462.15µm
_12511_,462µm
net363,461.79µm
net1174,461.69µm
_10523_,461.59µm
_11001_,461.54µm
net344,461.03µm
_22795_,460.57µm
net613,460.42µm
_20813_,460.39µm
_12707_,460.14µm
_21311_,460.03µm
_18433_,459.65µm
net293,459.5µm
net388,459.05µm
_05545_,459.04µm
_18506_,458.99µm
net354,458.58µm
_23653_,458.38µm
net340,457.92µm
net736,457.77µm
_06136_,457.21µm
net316,457.11µm
_12312_,456.98µm
_24293_,456.89µm
_06413_,456.79µm
net1152,456.55µm
net400,456.09µm
_14462_,455.42µm
_12359_,454.84µm
_23204_,454.81µm
_12342_,454.41µm
net849,454.09µm
clknet_4_0__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,454µm
_14490_,453.95µm
net336,453.85µm
net601,453.25µm
net484,453.03µm
_05963_,452.86µm
net30,452.73µm
_10534_,452.63µm
_10761_,452.55µm
_12347_,452.27µm
net362,451.87µm
net337,451.66µm
_06958_,450.49µm
net782,450.41µm
clknet_3_6_0_clk_i_regs,450.34µm
net762,449.93µm
net789,449.93µm
_05696_,449.27µm
net455,448.86µm
net374,448.81µm
_24105_,448.35µm
_10526_,448.3µm
_14287_,448.3µm
net966,448.3µm
_10432_,447.64µm
net1103,447.13µm
net619,447.03µm
net674,446.72µm
net942,446.62µm
_05995_,446.16µm
net503,446.06µm
_24678_,445.6µm
_26097_,445.19µm
_16325_,444.94µm
_16994_,444.94µm
_12596_,444.74µm
net816,444.55µm
_15869_,444.53µm
_12447_,444.38µm
net938,444.38µm
net356,443.88µm
_10377_,443.62µm
_24128_,443.42µm
_12549_,443.16µm
net813,443.08µm
net332,442.55µm
_15247_,442.42µm
net394,442.4µm
net387,442.36µm
_17158_,441.99µm
net609,441.9µm
_25751_,441.86µm
_18183_,441.63µm
_18434_,441.58µm
_14152_,441.17µm
_24096_,440.31µm
_26112_,439.85µm
net450,439.29µm
_06889_,439.26µm
net773,438.71µm
_13919_,438.68µm
net335,438.67µm
net342,438.37µm
