net,length_um
net2080,428.32µm
_25114_,428.14µm
_24608_,428.01µm
net1310,427.63µm
_24521_,427.37µm
net1191,426.92µm
_24234_,426.56µm
net1425,426.51µm
_16562_,426.35µm
net386,426.31µm
_10970_,425.75µm
_12423_,425.75µm
net716,425.59µm
net1328,425.54µm
net668,425.49µm
_24152_,425.34µm
clknet_leaf_70_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,424.93µm
net671,424.78µm
clknet_4_1__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,424.73µm
_13928_,424.63µm
net864,423.05µm
net1966,423.05µm
net1052,422.9µm
net1169,422.54µm
net1374,422.48µm
net890,422.44µm
_24790_,422.17µm
net1970,422.14µm
net809,421.98µm
net888,421.93µm
net2074,421.93µm
net1327,421.88µm
_06160_,421.83µm
_26205_,421.32µm
net906,421.27µm
net763,420.86µm
net1197,420.81µm
net1907,420.76µm
clknet_1_0__leaf_clk_i,420.56µm
net1380,420.4µm
net1473,420.3µm
_24141_,419.89µm
net347,419.79µm
_06929_,419.28µm
net898,419.27µm
net1345,419.23µm
_10900_,419.18µm
_18937_,419.08µm
_14136_,418.89µm
_12357_,418.86µm
_16984_,418.65µm
_24368_,418.62µm
_11395_,418.56µm
net1058,418.27µm
net1219,418.01µm
net753,417.96µm
net1401,417.96µm
net1477,417.5µm
_10901_,417.4µm
_06526_,417.04µm
_05909_,416.74µm
net532,416.53µm
_12541_,416.38µm
net294,416.38µm
net966,416.38µm
net1089,416.33µm
net2058,415.96µm
_24752_,415.92µm
net718,415.82µm
_25018_,415.72µm
net1417,415.27µm
_11197_,415.16µm
net1657,415.15µm
net2128,414.75µm
net1469,414.6µm
net2062,414.6µm
i_core_v_mini_mcu.memory_subsystem_i.ram0_i.tc_ram_i.sram\[21\]\[12\],414.5µm
_24217_,414.39µm
_17716_,414.24µm
net2045,414.11µm
net935,413.99µm
net731,413.94µm
net1125,413.94µm
net789,413.63µm
_25354_,413.12µm
_24124_,413.07µm
net1424,413.07µm
net345,413.02µm
clknet_3_3_0_clk_i_regs,412.46µm
_10547_,412.31µm
_07833_,411.75µm
_12395_,411.7µm
net694,411.7µm
_10538_,411.65µm
net1063,411.65µm
_26213_,411.52µm
net129,411.44µm
net1528,411.34µm
net240,411.29µm
_06610_,411.03µm
net903,410.73µm
_25097_,410.68µm
_11029_,410.58µm
clknet_3_0_0_clk_i_regs,410.58µm
_16400_,410.54µm
_12362_,410.38µm
net1989,410.27µm
net1416,409.51µm
net719,409.1µm
net826,408.9µm
_12707_,408.89µm
_12309_,408.71µm
net704,408.66µm
net453,408.54µm
net1128,408.53µm
_26129_,408.49µm
_08824_,407.83µm
net1375,407.5µm
net1915,407.32µm
net1356,407.27µm
_24219_,406.66µm
_26200_,406.12µm
_10648_,405.75µm
net670,405.74µm
net1088,405.74µm
_14419_,405.64µm
_06529_,405.59µm
_14233_,405.48µm
net2043,405.18µm
net1215,405.13µm
_05730_,405.08µm
net1737,405.08µm
_26399_,404.98µm
net2027,404.88µm
net1408,404.72µm
net316,404.47µm
net1226,404.38µm
_10742_,403.91µm
net1138,403.35µm
_25989_,403.26µm
_05843_,403.07µm
_12549_,402.94µm
_13938_,402.84µm
net822,402.74µm
_26220_,402.48µm
_14175_,402.43µm
net1563,402.41µm
_16341_,402.38µm
_26374_,402.38µm
net1306,402.37µm
_26067_,402.33µm
net745,402.02µm
net1475,401.87µm
_05538_,401.82µm
net868,401.81µm
net1325,401.77µm
_14382_,401.67µm
_20487_,401.26µm
_07000_,401µm
_26497_,400.96µm
net605,400.86µm
_16975_,400.77µm
_12409_,400.73µm
net1420,400.65µm
net723,400.6µm
net1666,400.6µm
_12338_,400.55µm
_24202_,400.45µm
net1411,400.37µm
_25317_,400.19µm
net2063,400.14µm
net1439,400.02µm
clknet_leaf_71_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,399.94µm
_22865_,399.89µm
_25896_,399.68µm
_04633_,399.17µm
_12326_,399.15µm
net937,398.77µm
net1399,398.73µm
_18591_,398.72µm
_12621_,398.46µm
net1326,398.31µm
net2017,398.31µm
_12522_,397.9µm
net1471,397.7µm
_06970_,397.39µm
_16989_,397.34µm
net1212,397.34µm
net943,397.09µm
_26049_,396.83µm
net1993,396.71µm
_10623_,396.63µm
_19777_,396.07µm
net1338,396.07µm
net792,395.99µm
_26897_,395.97µm
net2068,395.76µm
net1246,395.66µm
net860,395.41µm
net835,395.15µm
net1238,395µm
net1385,394.9µm
_20354_,394.69µm
net1220,394.59µm
net744,394.5µm
net658,394.4µm
net2084,394.39µm
net816,394.18µm
net824,393.83µm
_26092_,393.73µm
_14095_,393.53µm
_12316_,393.08µm
net1100,392.71µm
net1962,392.71µm
net2053,392.65µm
_05917_,392.26µm
net679,392.25µm
net1556,391.79µm
clknet_3_6__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,391.79µm
_10734_,391.69µm
net746,391.69µm
clknet_3_5_0_clk_i_regs,391.69µm
net1145,391.13µm
_10794_,390.8µm
net727,390.29µm
_12415_,389.96µm
net700,389.96µm
_19335_,389.91µm
net788,389.91µm
_26033_,389.6µm
_20568_,389.5µm
_10736_,389.42µm
_26299_,389.4µm
net795,389.35µm
_10383_,389.3µm
_14447_,389.04µm
net1494,388.94µm
clknet_4_8__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,388.89µm
_05821_,388.79µm
net1322,388.79µm
_22998_,388.64µm
net690,388.26µm
net717,388.23µm
net1243,387.97µm
_07830_,387.96µm
net815,387.87µm
net1433,387.87µm
net1476,387.83µm
_08380_,387.67µm
_11001_,387.67µm
i_core_v_mini_mcu.core_data_req\[8\],387.67µm
net1391,387.62µm
_18757_,387.57µm
_10334_,387.26µm
net1885,387.21µm
net1536,387.11µm
_12356_,386.89µm
_24118_,386.88µm
net772,386.8µm
_12348_,386.6µm
clknet_3_0__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,386.55µm
_25683_,386.5µm
_12317_,386.09µm
net1524,386.09µm
net777,385.94µm
net1396,385.68µm
_24181_,385.58µm
_21377_,385.48µm
clknet_4_9_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,384.97µm
_17712_,384.36µm
_12816_,384.22µm
net1467,384.21µm
net1111,383.19µm
_26364_,382.22µm
clknet_3_4_0_clk_i_regs,382.17µm
net865,381.61µm
net1368,381.61µm
_10610_,381.56µm
_12363_,381.56µm
_16430_,381.51µm
net793,381.46µm
_07137_,380.9µm
_25416_,379.93µm
_05813_,379.88µm
net1392,379.42µm
net749,379.33µm
net2076,379.32µm
_16388_,379.27µm
net2073,379.22µm
_14361_,378.86µm
net1431,378.86µm
clknet_4_6__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,378.81µm
clknet_4_5_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,378.76µm
net615,378.71µm
net1412,378.71µm
net1263,378.61µm
net666,378.6µm
net1184,378.45µm
_10846_,378.2µm
net810,378.2µm
net760,377.98µm
_14351_,377.84µm
net1442,377.59µm
_08224_,377.49µm
_25583_,377.4µm
net1413,376.52µm
net672,376.11µm
_05873_,375.76µm
_16675_,375.55µm
_20337_,375.54µm
_10880_,375.45µm
net987,375.45µm
_10643_,375.4µm
_12502_,375.35µm
net2059,375.35µm
net1978,375.33µm
_18873_,374.84µm
net735,374.84µm
net722,374.58µm
_14008_,374.28µm
net654,374.23µm
net964,374.22µm
_24111_,373.97µm
net1313,373.92µm
net1337,373.84µm
net1398,373.82µm
net1087,373.68µm
net1207,373.37µm
net1059,373.32µm
_12556_,373.19µm
_25888_,373.17µm
_24079_,373.11µm
net874,373.01µm
net600,372.69µm
net678,372.64µm
_11375_,372.6µm
net1324,372.6µm
_24362_,372.55µm
net1319,372.55µm
net1440,372.39µm
net1506,372.24µm
_10702_,372.14µm
net365,372.14µm
_05842_,372.09µm
_24249_,371.78µm
net778,371.75µm
_12458_,371.63µm
net904,371.43µm
_24199_,371.38µm
net2046,371.33µm
net681,371.07µm
_14503_,370.92µm
clknet_3_2_0_clk_i_regs,370.87µm
net1423,370.57µm
net1979,370.46µm
_18208_,370.41µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.power_manager_i.power_manager_reg_top_i.cpu_switch_on_counter_qs\[8\],370.41µm
net1376,370.41µm
_12445_,370.21µm
_25484_,370µm
_11367_,369.95µm
net1407,369.47µm
net1234,369.39µm
_14330_,369.19µm
_20664_,369.19µm
_18210_,369.14µm
net878,369.14µm
net1740,369.14µm
net662,369.09µm
_10988_,368.78µm
_18949_,368.73µm
clknet_4_4_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,368.73µm
net808,368.68µm
_22863_,367.99µm
_17516_,367.69µm
net1085,367.69µm
net965,367.67µm
net506,367.61µm
net800,367.39µm
net1936,367.16µm
net1333,367.05µm
net1167,366.77µm
net601,366.6µm
_14288_,366.54µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.power_manager_i.power_manager_reg_top_i.reg2hw\[244\],366.53µm
_05926_,366.49µm
net1188,366.35µm
net292,366.25µm
net1034,366.13µm
net1060,365.97µm
_16407_,365.74µm
net680,365.52µm
_14307_,365.44µm
net892,365.32µm
_10387_,365.27µm
net1032,365.27µm
net1669,365.27µm
_18716_,365.01µm
_12341_,364.84µm
_05983_,364.71µm
net695,364.71µm
net661,364.47µm
_26592_,364.29µm
net348,364.26µm
net1378,364.2µm
net2050,364.1µm
net941,363.79µm
net1201,363.69µm
_17543_,363.18µm
net894,363.03µm
net1977,363.01µm
_08466_,362.93µm
_10756_,362.82µm
_25841_,362.82µm
_16956_,362.67µm
_14467_,362.57µm
_12404_,361.96µm
_19572_,361.3µm
net940,361.3µm
net1233,361.09µm
_18953_,360.99µm
net627,360.89µm
net1245,360.84µm
net750,360.68µm
_25956_,360.63µm
_24147_,360.53µm
_09161_,360.4µm
_06434_,360.38µm
_25251_,360.38µm
_12315_,360.33µm
_12389_,360.28µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.power_manager_i.power_manager_reg_top_i.cpu_switch_on_counter_qs\[7\],360.08µm
net879,359.92µm
clknet_5_3__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,359.77µm
net1377,359.74µm
_10597_,359.36µm
net870,359.35µm
net692,359.21µm
_10361_,359.16µm
_20752_,359.11µm
net1545,359.11µm
net830,358.9µm
net329,358.81µm
net660,358.65µm
_10791_,358.6µm
net614,358.6µm
_25052_,358.29µm
_10162_,357.99µm
_19269_,357.99µm
net2037,357.94µm
_04632_,357.68µm
net756,357.63µm
net517,357.58µm
net1175,357.58µm
_12379_,357.54µm
_10799_,357.48µm
net1500,357.43µm
net2057,357.23µm
net1419,357.2µm
_05627_,357.07µm
net1415,356.97µm
_18862_,356.77µm
net759,356.56µm
net599,356.51µm
_24618_,356.31µm
_18779_,356.26µm
net1665,356.05µm
net369,355.96µm
net1346,355.8µm
_10903_,355.7µm
_10724_,355.29µm
_08264_,355.14µm
net1206,354.78µm
_24977_,354.5µm
_10855_,354.33µm
_20756_,354.27µm
_14864_,354.17µm
net327,354.12µm
_26173_,353.51µm
_25695_,353.42µm
_16836_,353.15µm
net515,353.05µm
_12450_,353µm
net1972,353µm
net1583,352.86µm
_10878_,352.39µm
net179,352.39µm
net1095,352.39µm
net766,352.03µm
net372,351.93µm
net2014,351.93µm
_08023_,351.83µm
net1129,351.83µm
_08343_,351.78µm
net2085,351.42µm
net1141,351.32µm
net1342,351.32µm
net1546,351.32µm
net238,351.28µm
_20607_,351.24µm
_05874_,351.12µm
net1421,351.01µm
net982,350.96µm
_12371_,350.91µm
_05533_,350.71µm
_25386_,350.71µm
_05898_,350.66µm
net1598,350.66µm
net1491,350.2µm
_16725_,350.15µm
_24130_,350.15µm
_24210_,349.84µm
net802,349.79µm
net1290,349.74µm
net1596,349.59µm
_07922_,349.24µm
net1359,349.21µm
net1667,349.18µm
_11298_,349.13µm
_12321_,349.08µm
net657,349.08µm
_10745_,348.98µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.power_manager_i.power_manager_reg_top_i.global_pointer_qs\[21\],348.87µm
net2039,348.47µm
_10549_,348.42µm
net734,348.16µm
_25784_,348.12µm
_26145_,348.01µm
_20760_,347.86µm
_22984_,347.86µm
net794,347.86µm
net1163,347.65µm
net538,347.6µm
_11137_,347.5µm
net1208,347.45µm
net1384,347.45µm
net239,346.99µm
net897,346.74µm
net1554,346.74µm
_18839_,346.69µm
_25604_,346.53µm
net932,346.33µm
net1236,346.28µm
net2078,346.02µm
net1512,345.95µm
_18798_,345.62µm
_25628_,345.41µm
_20579_,345.36µm
_14441_,345.26µm
_18927_,345.26µm
net838,345.21µm
_10918_,345.11µm
net834,344.89µm
net876,344.75µm
net1173,344.75µm
clknet_4_4__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,344.5µm
_13994_,344.45µm
_10856_,344.34µm
_16721_,344.27µm
clknet_4_12__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,344.24µm
net1381,344.14µm
net1478,344.09µm
clknet_3_1_0_clk_i_regs,343.94µm
_14054_,343.86µm
net1961,343.49µm
_10596_,343.38µm
_12388_,343.29µm
_25285_,343.28µm
net184,343.02µm
net1971,342.87µm
_18921_,342.46µm
net1031,342.37µm
_12381_,342.31µm
net1965,342.31µm
_20743_,341.85µm
_24240_,341.85µm
net1533,341.85µm
clknet_4_14__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,341.85µm
_12390_,341.75µm
net1329,341.75µm
net1033,341.7µm
_18820_,341.65µm
net2016,341.34µm
net1967,341.29µm
_16319_,341.19µm
net1178,341.19µm
_10792_,341.14µm
i_core_v_mini_mcu.memory_subsystem_clkgate_en_n,341.09µm
_17538_,340.78µm
net986,340.73µm
net1193,340.73µm
_18955_,340.68µm
_10844_,340.22µm
_06840_,340.02µm
net1437,339.91µm
net1613,339.76µm
_06677_,339.66µm
net1303,339.61µm
net1397,339.56µm
net1164,339.53µm
_10529_,339.51µm
net2054,339.51µm
net1834,339.46µm
net1330,339.41µm
_17552_,339.1µm
net1320,339µm
_16500_,338.95µm
net1221,338.9µm
net516,338.79µm
_18245_,338.54µm
_19268_,338.44µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.power_manager_i.power_manager_reg_top_i.en_wait_for_intr_qs\[19\],338.44µm
_06963_,338.42µm
_08065_,338.34µm
_25158_,338.18µm
_17028_,338.13µm
_20570_,338.08µm
clknet_leaf_69_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,337.98µm
_17496_,337.88µm
net1537,337.42µm
net837,337.37µm
_17520_,337.27µm
_25769_,337.01µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.power_manager_i.power_manager_reg_top_i.cpu_switch_on_counter_qs\[14\],336.91µm
_18747_,336.86µm
_10618_,336.81µm
net1728,336.71µm
net776,336.25µm
net857,336.15µm
_14319_,336.05µm
net1969,336.05µm
_16671_,335.74µm
_07581_,335.69µm
net1001,335.69µm
_12339_,335.59µm
_18958_,335.54µm
_08186_,335.49µm
_05932_,335.41µm
net685,335.28µm
net914,335.28µm
net1177,335.28µm
_12350_,335.23µm
net686,335.08µm
_05550_,334.62µm
net1455,334.54µm
_20314_,334.39µm
_20663_,334.11µm
net883,334.06µm
_12571_,334µm
_14335_,333.95µm
net1403,333.86µm
_12411_,333.76µm
_24920_,333.71µm
net1452,333.55µm
_12370_,333.5µm
_19165_,333.4µm
_22795_,333.4µm
net514,333.4µm
net687,333.35µm
clknet_4_13__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,333.35µm
_18951_,333.3µm
_12599_,332.99µm
_27512_,332.99µm
net1507,332.94µm
_06790_,332.79µm
_07344_,332.33µm
_25832_,332.33µm
net243,332.33µm
net174,332.28µm
net1080,331.77µm
net1496,331.77µm
_05711_,331.72µm
net325,331.57µm
net1354,331.54µm
_20515_,331.31µm
_10587_,331.26µm
_12489_,331.21µm
net609,331.21µm
net1239,331.11µm
net1503,330.65µm
_24101_,330.6µm
net387,330.45µm
_25283_,330.29µm
_24159_,330.24µm
net1237,330.14µm
net721,330.09µm
clknet_4_8_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,330.09µm
net1186,329.94µm
net1668,329.58µm
_18939_,329.53µm
_16952_,329.48µm
_16452_,329.33µm
_14860_,329.17µm
spi_flash_sd_io[2],328.59µm
clknet_4_11__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,328.51µm
_16947_,328.21µm
net1340,328.21µm
net1488,328.15µm
net256,327.95µm
_10840_,327.86µm
_19289_,327.4µm
_12360_,327.39µm
