net,length_um
net663,499.46µm
net602,499.36µm
net581,499.21µm
net1490,499.18µm
net785,499.16µm
_05691_,499.11µm
net1494,498.79µm
net794,498.66µm
net272,498.55µm
net1472,498.31µm
_24627_,498.04µm
net1758,497.94µm
net352,497.24µm
net549,497.22µm
net578,497.19µm
net805,497.17µm
net826,497.12µm
net852,496.29µm
net812,494.66µm
net627,494.52µm
net853,493.89µm
net341,493.75µm
net803,493.61µm
net327,493.38µm
_24096_,493.21µm
net583,492.95µm
net821,492.83µm
_24618_,492.74µm
net961,492.14µm
net646,492.08µm
_04632_,491.5µm
_10567_,491.41µm
_24162_,490.96µm
net1033,490.59µm
net620,490.5µm
net708,490.4µm
_24678_,490.25µm
net652,490.25µm
_25798_,489.99µm
net837,489.94µm
_26145_,489.89µm
net659,489.74µm
net829,489.08µm
_24104_,489.06µm
net344,487.87µm
net689,487.73µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[16\],487.4µm
_24095_,487.04µm
_14124_,486.99µm
net366,486.89µm
net612,486.55µm
net759,486.48µm
net545,486.38µm
net268,485.94µm
net1696,485.72µm
net297,484.7µm
net593,484.65µm
net474,484.55µm
net886,483.43µm
net559,482.92µm
net763,482.88µm
_24781_,482.56µm
net848,482.56µm
net776,482.36µm
net329,482.23µm
net737,482.18µm
_25191_,482µm
_19247_,481.91µm
net611,481.8µm
_18999_,481.35µm
net655,481.29µm
net351,481.15µm
net377,481.01µm
clknet_4_5_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,480.68µm
_19335_,480.58µm
net1661,480.27µm
net1714,480.22µm
net1660,480.17µm
net1703,479.86µm
_24158_,479.76µm
net282,479.51µm
net838,478.9µm
net505,478.67µm
net567,478.59µm
net833,478.54µm
net644,478.52µm
net850,478.39µm
net733,478.11µm
net1649,477.99µm
net911,477.93µm
net472,477.85µm
_05947_,477.27µm
_26200_,477.01µm
_06747_,477µm
net884,476.6µm
net380,476.45µm
net365,476.35µm
_26205_,476.3µm
net1679,476.25µm
net605,475.64µm
net744,475.34µm
net846,474.17µm
_19349_,472.99µm
net1676,472.74µm
net339,472.48µm
_26259_,472.43µm
net456,472.38µm
_12379_,472.28µm
_25695_,471.97µm
_24396_,471.92µm
_14864_,471.87µm
net295,471.72µm
net775,471.57µm
net1663,471.21µm
_04634_,471.16µm
net779,470.85µm
_24166_,470.8µm
net416,470.75µm
net882,470.6µm
net1042,470.37µm
net338,470.09µm
_17489_,470.04µm
net642,469.99µm
_14136_,469.64µm
_13911_,469.59µm
net1594,469.48µm
net792,469.45µm
net407,469.33µm
net518,469.25µm
net279,468.51µm
net544,468.33µm
net476,468.03µm
net471,468.01µm
_24896_,467.29µm
net429,467.09µm
_26429_,466.93µm
_12490_,466.63µm
net270,466.63µm
net337,466.58µm
_10388_,466.17µm
net845,466.12µm
_19572_,465.97µm
net614,465.52µm
net618,465.46µm
net462,465.36µm
net1690,465.2µm
_24084_,464.82µm
net1704,464.65µm
net741,464.41µm
net443,464.23µm
_10581_,463.98µm
_24639_,463.98µm
net876,463.57µm
net808,462.71µm
clknet_5_18__leaf_clk_i_regs,462.15µm
_12388_,462.05µm
net259,461.74µm
net343,461.59µm
_12522_,461.13µm
net439,460.93µm
net367,460.72µm
net860,460.01µm
net354,459.55µm
_19206_,458.94µm
_06034_,458.89µm
clknet_5_25__leaf_clk_i_regs,458.79µm
net841,458.33µm
_10628_,458.28µm
net709,458.23µm
net312,458.02µm
net800,457.99µm
net648,457.51µm
net437,457.49µm
net353,457.21µm
_19654_,457.16µm
_10710_,457.01µm
net364,456.6µm
net330,456.53µm
_12475_,456.32µm
net1674,456.09µm
net491,455.75µm
_18958_,455.48µm
_05720_,455.15µm
net293,455.12µm
net431,455.07µm
net1614,454.8µm
_19040_,454.58µm
net1503,454.31µm
net1138,454.26µm
net479,454.21µm
_19289_,453.81µm
net153,453.34µm
net394,453.34µm
net281,453.29µm
net684,453.29µm
net1652,452.76µm
_10596_,452.73µm
net382,452.01µm
_10571_,451.47µm
net791,451.15µm
_19695_,450.85µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[18\],450.85µm
net717,450.77µm
_13938_,450.74µm
net631,450.69µm
net851,450.67µm
_24297_,450.44µm
_26033_,449.83µm
_16746_,449.33µm
_12457_,448.86µm
net452,448.84µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[25\],448.81µm
_14860_,448.35µm
net217,448.3µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[8\],448.1µm
_25604_,447.38µm
net455,447.23µm
_24136_,447.08µm
_24510_,446.82µm
net363,446.62µm
clknet_4_5_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,445.86µm
_14008_,445.7µm
net697,445.5µm
net832,445.5µm
_06797_,445.3µm
_26364_,444.43µm
net336,444.33µm
net287,443.82µm
net682,443.72µm
_10760_,443.64µm
net730,443.57µm
_05995_,443.21µm
net865,443.11µm
net671,442.91µm
net1683,442.66µm
_19448_,442.4µm
net1511,442.09µm
net595,442.04µm
net667,441.33µm
net638,441.06µm
_05843_,440.97µm
net340,440.92µm
net1553,440.62µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[17\],440.31µm
net1462,440.08µm
net355,439.8µm
_24222_,439.54µm
_18839_,439.28µm
net887,439.14µm
_24526_,438.73µm
net485,438.68µm
net483,438.54µm
_12440_,438.47µm
net519,438.44µm
net1039,438.37µm
_04633_,438.27µm
net1700,438.07µm
_26331_,437.76µm
_24204_,437.66µm
net300,437.65µm
net606,437.61µm
net1672,437.5µm
_19081_,436.84µm
_14201_,436.73µm
net645,436.54µm
net1430,436.54µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[19\],436.34µm
_16394_,436.12µm
net912,436.03µm
net326,435.76µm
_10519_,435.73µm
_14037_,435.47µm
_24168_,434.71µm
_24350_,434.65µm
_25826_,434.3µm
net1664,434.28µm
net573,434.25µm
_19407_,434.2µm
net1495,434.2µm
net359,434.15µm
net14,434.02µm
net19,433.74µm
net389,433.28µm
_25452_,433.15µm
net1612,433.13µm
_06880_,432.92µm
net303,432.78µm
net331,432.77µm
net1597,432.71µm
net552,432.57µm
net460,432.24µm
net630,432.095µm
net651,432.01µm
net798,431.35µm
net1471,431.35µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[24\],431.25µm
_05829_,431.21µm
net214,431.14µm
_06730_,431.04µm
net504,430.99µm
_24100_,430.89µm
net1634,430.89µm
net674,430.74µm
_19613_,430.64µm
net555,430.5µm
net1493,430.28µm
_14244_,430.16µm
_24824_,429.97µm
net1479,429.96µm
clknet_4_13_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,429.82µm
_10939_,429.67µm
net383,429.38µm
net564,429.26µm
_24117_,429.14µm
net1170,428.7µm
_10737_,428.6µm
_24094_,428.39µm
net369,428.09µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[1\]\[3\],427.94µm
net453,427.53µm
net952,426.52µm
_18885_,426.31µm
_20630_,425.9µm
_20337_,425.87µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[10\],425.65µm
net668,425.39µm
_14347_,425.34µm
net929,424.88µm
net1313,424.78µm
net1552,424.03µm
_19165_,423.97µm
net830,423.74µm
_11367_,423.46µm
net1698,422.59µm
_10793_,422.39µm
net783,422.16µm
net388,422.08µm
net560,421.93µm
net762,421.93µm
net325,421.37µm
net484,420.61µm
_24151_,420.1µm
_14152_,419.79µm
net596,419.64µm
net358,419.03µm
net1475,419.03µm
net360,418.98µm
_19124_,418.47µm
_12462_,418.42µm
net1688,418.11µm
_12431_,418.01µm
_10432_,417.91µm
_26016_,417.91µm
_24107_,417.55µm
_24521_,417.5µm
net729,417.5µm
net1653,417.5µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[5\]\[7\],416.85µm
net728,416.84µm
net687,416.79µm
_05646_,416.73µm
net889,416.69µm
net1474,416.69µm
_16675_,416.53µm
net705,416.38µm
net590,416.08µm
net548,415.87µm
net714,415.62µm
net1728,415.62µm
net1435,415.36µm
_24125_,415.11µm
net372,415.06µm
net533,414.9µm
_10742_,414.89µm
net568,414.6µm
net1668,414.14µm
net475,414.04µm
net716,413.76µm
net465,413.68µm
net2,413.33µm
_25751_,413.12µm
_14162_,412.92µm
clknet_4_4_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,412.92µm
net323,412.64µm
net1498,412.58µm
net1607,412.51µm
net680,412.46µm
_24128_,412.38µm
net770,412.36µm
_24240_,412µm
_24368_,411.95µm
net637,411.85µm
_07168_,411.5µm
_19530_,411.14µm
_12836_,410.76µm
_12370_,410.68µm
net348,410.27µm
_06415_,410.2µm
net482,410.07µm
_06004_,409.51µm
net335,409.15µm
_17456_,409.1µm
_10869_,408.54µm
net294,408.49µm
net451,408.44µm
_12541_,408.29µm
_22984_,408.29µm
net715,407.83µm
_10630_,407.32µm
net607,407.32µm
_27440_,407.22µm
_10963_,407.12µm
_20314_,406.86µm
_08806_,406.1µm
_20354_,405.74µm
net525,405.59µm
net669,405.59µm
_10734_,405.16µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[32\],405.13µm
_14165_,405.1µm
_20607_,404.98µm
net1666,404.01µm
_10805_,403.96µm
net920,403.4µm
_12464_,403.3µm
net1680,403.22µm
_11059_,403.2µm
net723,403.01µm
_17008_,402.84µm
_12339_,402.23µm
net713,402.08µm
_22758_,401.99µm
net1681,401.87µm
_12494_,401.26µm
_05796_,400.55µm
_14074_,400.55µm
_16502_,400.55µm
net304,400.45µm
net1548,400.14µm
net401,399.84µm
net781,399.78µm
_14457_,399.53µm
_12467_,399.02µm
_12605_,398.87µm
_22998_,397.68µm
_24192_,397.19µm
_05608_,397.11µm
_06746_,396.87µm
net827,396.63µm
net254,396.07µm
net1654,396.02µm
_10740_,396.01µm
_10988_,395.61µm
net1148,395.51µm
_26374_,395.15µm
net693,395.05µm
net796,394.86µm
net1626,394.49µm
_23091_,394.44µm
net332,394.44µm
net324,394.11µm
_12317_,393.94µm
net333,393.83µm
_19736_,393.71µm
net1183,393.49µm
_05856_,393.12µm
_12350_,392.94µm
net930,392.91µm
net569,392.76µm
net562,392.71µm
net412,392.35µm
_24199_,392.25µm
_12556_,392.15µm
_14054_,391.84µm
net1618,391.84µm
_06402_,391.64µm
net445,390.52µm
net1224,390.42µm
_24608_,390.29µm
_10597_,390.16µm
_17731_,390.13µm
_24328_,390.06µm
net1421,389.5µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[18\],389.3µm
_18931_,389.09µm
_16671_,388.94µm
net490,388.84µm
_06420_,388.8µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[22\],388.26µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.soc_ctrl_i.reg2hw\[35\],388.18µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[11\],388.18µm
_09562_,388.13µm
net152,387.97µm
net1500,387.6µm
_24141_,387.26µm
_12544_,387.11µm
_25114_,386.95µm
_14504_,386.85µm
net1754,386.5µm
net1534,386.34µm
_13958_,386.32µm
net786,386.19µm
net1689,386.09µm
_19969_,386.04µm
_18183_,385.68µm
net370,385.68µm
_05972_,385.58µm
_10366_,385.58µm
clknet_4_15_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,385.48µm
clknet_4_0_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,385.07µm
net1465,385.03µm
_19381_,385.02µm
_24752_,384.69µm
_24174_,384.51µm
_18208_,384.07µm
net706,384.03µm
net647,384µm
_10383_,383.96µm
_17496_,383.9µm
_10582_,383.85µm
net1665,383.8µm
net1716,383.29µm
_05660_,383.19µm
net1267,383.14µm
_24339_,382.73µm
net765,382.71µm
net1540,382.63µm
_24920_,382.12µm
net774,382.12µm
net874,381.71µm
_10825_,381.28µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[33\],381.24µm
net688,381.13µm
_10580_,381.1µm
net1601,381.05µm
net675,380.44µm
net1656,380.39µm
net1724,380.39µm
_26399_,380.29µm
net752,379.99µm
net1516,379.42µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[6\]\[3\],379.27µm
net1322,379.17µm
_23099_,379.12µm
_22740_,378.86µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[28\],378.85µm
_12443_,378.81µm
_18591_,378.61µm
_05784_,378.4µm
net1613,378.4µm
net1585,378.39µm
_20538_,378.27µm
_25818_,378.2µm
net546,378.2µm
_12902_,378.15µm
