net,length_um
net773,455.76µm
net1310,455.48µm
net855,455.17µm
net374,455.12µm
_05995_,455.02µm
_24678_,454.66µm
_11001_,454.31µm
net601,454.26µm
net344,454.21µm
net813,454.05µm
_06413_,453.9µm
_05963_,453.85µm
net1486,453.8µm
_12347_,453.77µm
net437,453.65µm
net849,453.3µm
net338,453.15µm
net1569,452.44µm
net934,452.37µm
_10432_,452.3µm
clknet_4_0__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,452.27µm
_10355_,451.61µm
_18433_,451.61µm
_06034_,451.51µm
_16994_,451.36µm
net539,451.25µm
net352,451.2µm
net966,451.2µm
_10742_,451.1µm
net332,450.9µm
_25114_,450.69µm
net363,450.59µm
net379,450.54µm
net559,450.05µm
_05987_,449.98µm
_18434_,449.83µm
net503,449.57µm
_24105_,449.37µm
_12596_,448.67µm
net613,448.48µm
_12707_,448.34µm
clknet_3_6_0_clk_i_regs,448.15µm
_18907_,448.02µm
_24128_,447.75µm
net1510,447.49µm
_24096_,446.98µm
net782,446.64µm
net394,446.47µm
net1570,446.32µm
net455,446.21µm
net362,446.02µm
net1633,446.01µm
net316,445.5µm
net671,445.4µm
net674,445.04µm
_18506_,444.99µm
_12549_,444.79µm
net789,444.28µm
_13919_,443.72µm
net450,443.72µm
_10377_,443.67µm
net387,443.11µm
_12447_,442.75µm
net1546,442.6µm
net1103,442.09µm
net1497,442.09µm
net1360,441.48µm
net342,440.87µm
_12475_,439.63µm
net664,439.44µm
_24125_,439.19µm
_10571_,439.14µm
_25751_,438.45µm
_26112_,438.32µm
net29,438.22µm
net1638,438.17µm
net876,438.07µm
net1448,437.85µm
net1502,437.66µm
net229,437.51µm
_07464_,437.46µm
_25018_,437.3µm
net356,437.15µm
net826,437µm
net484,436.74µm
net780,436.65µm
net612,436.59µm
net312,436.47µm
net329,436.32µm
_12522_,435.88µm
net675,435.88µm
net1450,435.83µm
net1112,435.73µm
clknet_4_1__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,435.47µm
net291,435.32µm
net517,435.27µm
_24781_,435.04µm
_19349_,434.45µm
_12359_,434.21µm
net1600,434.1µm
net649,433.61µm
_12377_,433.08µm
_10880_,432.52µm
_18183_,432.01µm
net1031,431.98µm
_06415_,431.88µm
net443,431.59µm
net1316,431.35µm
net846,431.3µm
_14383_,430.94µm
net1594,430.84µm
_16400_,430.78µm
net816,430.33µm
net783,430.23µm
net885,430.23µm
_06969_,430.17µm
net609,430µm
net287,429.77µm
_12511_,429.58µm
net866,429.16µm
clknet_3_0_0_clk_i_regs,429.16µm
_05730_,428.75µm
_09199_,428.34µm
_10615_,427.68µm
_10901_,427.1µm
_05947_,426.97µm
net614,426.87µm
net502,426.21µm
_24824_,426.1µm
net545,426.07µm
net483,425.75µm
net882,425.7µm
net827,425.12µm
_12423_,424.75µm
net457,424.73µm
net24,424.63µm
_06736_,424.42µm
net307,424.04µm
_12404_,423.66µm
_17509_,423.15µm
_16447_,422.58µm
net339,422.54µm
net386,422.49µm
_24217_,422.43µm
net1654,422.18µm
_24141_,421.98µm
net749,421.98µm
net678,421.93µm
_18591_,421.78µm
_14136_,421.67µm
_24790_,421.36µm
net299,421.32µm
net774,421.27µm
net1499,420.86µm
_10855_,420.81µm
net1655,420.2µm
net1657,420.1µm
_26213_,419.89µm
_24396_,419.63µm
net335,419.59µm
_24752_,419.28µm
net778,419.18µm
_22863_,419.03µm
net602,418.93µm
net319,418.57µm
_25896_,418.01µm
_26129_,417.45µm
_10549_,416.74µm
_18901_,416.58µm
_18590_,416.48µm
net1591,416.33µm
net1348,416.23µm
net753,415.87µm
net1609,415.87µm
_05538_,415.67µm
net1361,415.26µm
net333,415.21µm
_26200_,415.05µm
net1533,414.65µm
_12409_,414.53µm
_24627_,413.5µm
_19448_,413.46µm
_18204_,413.43µm
net530,413.07µm
_10877_,412.56µm
_26194_,412.33µm
clknet_1_0__leaf_clk_i,412.21µm
net573,411.9µm
net1622,411.85µm
_24144_,410.88µm
_20365_,410.83µm
_10826_,410.63µm
net699,410.58µm
net1677,410.32µm
net1562,410.27µm
_06598_,410.16µm
_18198_,409.92µm
_12502_,409.9µm
_13958_,409.76µm
_24368_,409.76µm
_12388_,408.95µm
_18873_,408.95µm
net1463,408.59µm
net1725,407.83µm
_18244_,407.47µm
net385,407.47µm
net738,407.32µm
net1283,407.17µm
net1449,407.17µm
net670,406.81µm
net839,406.76µm
net830,406.15µm
clknet_3_0__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,405.84µm
_24234_,405.74µm
net907,405.74µm
net822,405.23µm
_16341_,405.13µm
_18899_,405.08µm
_26399_,404.98µm
net451,404.49µm
_24166_,404.41µm
net1492,403.8µm
net289,403.6µm
net495,403.58µm
net277,403.55µm
_05917_,403.4µm
_23001_,403.09µm
net306,402.74µm
_12309_,402.38µm
clknet_3_6__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,402.38µm
net843,401.72µm
_22998_,401.67µm
net676,401.62µm
_25695_,401.46µm
_16984_,401.43µm
net1040,401.41µm
_06529_,401.26µm
net840,401.2µm
_07833_,401.01µm
net566,400.77µm
_18909_,400.6µm
_12362_,400.14µm
net817,400.09µm
_24608_,400.03µm
_14447_,399.74µm
_19381_,399.58µm
net389,399.53µm
net662,399.07µm
net648,398.97µm
clknet_4_7__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,398.41µm
net498,398.31µm
_24362_,397.95µm
net230,397.9µm
_25956_,397.11µm
_10745_,397.09µm
_06526_,396.73µm
net314,396.73µm
_26497_,396.48µm
net1500,396.35µm
net1607,396.35µm
_17712_,396.27µm
