Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_273_334,VSS,Metal1,203.5600,1093.6800,0.000000
FILLER_273_332,VSS,Metal1,202.7200,1093.6800,0.000000
FILLER_273_296,VSS,Metal1,182.5600,1093.6800,0.000000
FILLER_273_288,VSS,Metal1,179.2530,1093.2180,0.000000
FILLER_273_270,VSS,Metal1,168.0000,1093.6800,0.000000
FILLER_273_234,VSS,Metal1,148.0200,1093.3310,0.000000
FILLER_273_206,VSS,Metal1,131.8800,1093.6800,0.000000
FILLER_273_196,VSS,Metal1,126.7400,1093.3310,0.000000
FILLER_273_180,VSS,Metal1,117.3200,1093.6800,0.000000
FILLER_273_172,VSS,Metal1,114.2930,1093.2180,0.000000
FILLER_273_129,VSS,Metal1,89.0400,1093.6800,0.000000
FILLER_273_104,VSS,Metal1,75.2200,1093.3310,0.000000
FILLER_273_70,VSS,Metal1,63.7240,1093.0820,0.000000
FILLER_273_66,VSS,Metal1,53.7600,1093.6800,0.000000
FILLER_272_1839,VSS,Metal1,1046.3600,1085.8400,0.000040
FILLER_272_1837,VSS,Metal1,1045.5200,1085.8400,0.000040
FILLER_272_1804,VSS,Metal1,1027.2200,1086.1885,0.000040
FILLER_272_1791,VSS,Metal1,1020.9330,1086.3015,0.000040
FILLER_272_1784,VSS,Metal1,1015.5600,1085.8400,0.000040
FILLER_272_1782,VSS,Metal1,1014.7200,1085.8400,0.000040
FILLER_272_1748,VSS,Metal1,995.4000,1085.8400,0.000042
FILLER_272_1746,VSS,Metal1,994.5600,1085.8400,0.000042
FILLER_272_1711,VSS,Metal1,975.1400,1086.1885,0.000043
FILLER_272_1699,VSS,Metal1,968.2400,1085.8400,0.000044
FILLER_272_1663,VSS,Metal1,948.0800,1085.8400,0.000043
FILLER_272_1635,VSS,Metal1,932.1200,1085.8400,0.000043
FILLER_272_1633,VSS,Metal1,931.2800,1085.8400,0.000043
FILLER_272_1625,VSS,Metal1,927.9730,1086.3015,0.000043
FILLER_272_1585,VSS,Metal1,904.4000,1085.8400,0.000045
FILLER_272_1507,VSS,Metal1,860.7200,1085.8400,0.000047
FILLER_272_1503,VSS,Metal1,858.4800,1085.8400,0.000049
FILLER_272_1364,VSS,Metal1,780.3600,1085.8400,0.000053
FILLER_272_1294,VSS,Metal1,741.1600,1085.8400,0.000054
FILLER_272_1285,VSS,Metal1,736.5800,1086.1885,0.000054
FILLER_272_1224,VSS,Metal1,701.9600,1085.8400,0.000053
FILLER_272_1222,VSS,Metal1,701.1200,1085.8400,0.000053
FILLER_272_1188,VSS,Metal1,681.8000,1085.8400,0.000053
FILLER_272_1186,VSS,Metal1,680.9600,1085.8400,0.000053
FILLER_272_1146,VSS,Metal1,658.7400,1086.1885,0.000053
FILLER_272_1115,VSS,Metal1,641.2000,1085.8400,0.000052
